site_location_name,site_unique,visit_start_date,transect,point_number,substrate,standardised_name,dead,family,growth_form,height,genus,specific_epithet,rank,hits_unique,photo_start,photo-end
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,25,Litter,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.3,Sclerolaena,longicuspis,Species,S1-N1 25,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,25,Litter,Casuarina pauper,FALSE,Casuarinaceae ,Tree/palm,5,Casuarina,pauper,Species,S1-N1 25,1450,1462
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,26,Litter,Casuarina pauper,FALSE,Casuarinaceae ,Tree/palm,5,Casuarina,pauper,Species,S1-N1 26,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,27,Litter,Alectryon oleifolius ,FALSE,Sapindaceae,Tree/palm,1.7,Alectryon,oleifolius ,Species,S1-N1 27,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,27,Litter,Casuarina pauper,FALSE,Casuarinaceae ,Tree/palm,5,Casuarina,pauper,Species,S1-N1 27,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,28,Litter,Casuarina pauper,FALSE,Casuarinaceae ,Tree/palm,5,Casuarina,pauper,Species,S1-N1 28,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,29,Litter,Sclerolaena ventricosa,TRUE,Chenopodiaceae,Chenopod,0.2,Sclerolaena,ventricosa,Species,S1-N1 29,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,30,Rock,NA,,,,,NA,NA,NA,S1-N1 30,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,31,Litter,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.05,Sclerolaena,brachyptera,Species,S1-N1 31,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,32,Gravel,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.09,Sclerolaena,brachyptera,Species,S1-N1 32,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,33,Litter,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.12,Sclerolaena,brachyptera,Species,S1-N1 33,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,34,Gravel,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.08,Sclerolaena,brachyptera,Species,S1-N1 34,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,35,Gravel,NA,,,,,NA,NA,NA,S1-N1 35,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,36,Bare,NA,,,,,NA,NA,NA,S1-N1 36,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,37,Gravel,NA,,,,,NA,NA,NA,S1-N1 37,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,38,Gravel,NA,,,,,NA,NA,NA,S1-N1 38,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,39,Rock,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.2,Sclerolaena,longicuspis,Species,S1-N1 39,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,39,Rock,Casuarina pauper,FALSE,Casuarinaceae ,Tree/palm,2.45,Casuarina,pauper,Species,S1-N1 39,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,40,Gravel,NA,,,,,NA,NA,NA,S1-N1 40,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,41,Rock,NA,,,,,NA,NA,NA,S1-N1 41,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,42,Gravel,NA,,,,,NA,NA,NA,S1-N1 42,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,43,Gravel,NA,,,,,NA,NA,NA,S1-N1 43,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,44,Gravel,NA,,,,,NA,NA,NA,S1-N1 44,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,45,Gravel,NA,,,,,NA,NA,NA,S1-N1 45,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,46,Litter,Sclerolaena longicuspis,TRUE,Chenopodiaceae,Chenopod,0.19,Sclerolaena,longicuspis,Species,S1-N1 46,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,47,Bare,NA,,,,,NA,NA,NA,S1-N1 47,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,48,Bare,NA,,,,,NA,NA,NA,S1-N1 48,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,49,Bare,NA,,,,,NA,NA,NA,S1-N1 49,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,50,Bare,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.15,Sclerolaena,brachyptera,Species,S1-N1 50,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,51,Litter,Maireana astrotricha,TRUE,Chenopodiaceae,Chenopod,0.68,Maireana,astrotricha,Species,S1-N1 51,1476,1484
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,52,Litter,Maireana astrotricha,TRUE,Chenopodiaceae,Chenopod,0.32,Maireana,astrotricha,Species,S1-N1 52,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,53,Rock,NA,,,,,NA,NA,NA,S1-N1 53,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,54,Gravel,NA,,,,,NA,NA,NA,S1-N1 54,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,55,Gravel,NA,,,,,NA,NA,NA,S1-N1 55,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,56,Rock,NA,,,,,NA,NA,NA,S1-N1 56,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,57,Litter,NA,,,,,NA,NA,NA,S1-N1 57,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,58,Gravel,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.07,Sclerolaena,brachyptera,Species,S1-N1 58,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,59,Bare,Maireana astrotricha,FALSE,Chenopodiaceae,Chenopod,0.34,Maireana,astrotricha,Species,S1-N1 59,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,60,Gravel,Maireana astrotricha,FALSE,Chenopodiaceae,Chenopod,0.34,Maireana,astrotricha,Species,S1-N1 60,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,61,Gravel,NA,,,,,NA,NA,NA,S1-N1 61,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,62,Gravel,NA,,,,,NA,NA,NA,S1-N1 62,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,63,Gravel,NA,,,,,NA,NA,NA,S1-N1 63,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,64,Rock,NA,,,,,NA,NA,NA,S1-N1 64,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,65,Gravel,NA,,,,,NA,NA,NA,S1-N1 65,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,66,Gravel,NA,,,,,NA,NA,NA,S1-N1 66,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,67,Rock,NA,,,,,NA,NA,NA,S1-N1 67,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,68,Gravel,Sclerolaena eriacantha,FALSE,Chenopodiaceae,Chenopod,0.11,Sclerolaena,eriacantha,Species,S1-N1 68,1493,1498
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,69,Gravel,NA,,,,,NA,NA,NA,S1-N1 69,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,70,Litter,NA,,,,,NA,NA,NA,S1-N1 70,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,71,Rock,Sclerolaena eriacantha,FALSE,Chenopodiaceae,Chenopod,0.12,Sclerolaena,eriacantha,Species,S1-N1 71,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,72,Litter,Enneapogon,TRUE,Poaceae,Grass,0.1,Enneapogon,NA,Genus,S1-N1 72,1507,1513
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,73,Rock,NA,,,,,NA,NA,NA,S1-N1 73,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,74,Rock,NA,,,,,NA,NA,NA,S1-N1 74,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,75,Rock,NA,,,,,NA,NA,NA,S1-N1 75,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,76,Gravel,NA,,,,,NA,NA,NA,S1-N1 76,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,77,Litter,Sclerolaena eriacantha,FALSE,Chenopodiaceae,Chenopod,0.07,Sclerolaena,eriacantha,Species,S1-N1 77,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,78,Gravel,NA,,,,,NA,NA,NA,S1-N1 78,1518,1525
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,79,Rock,Atriplex vesicaria,FALSE,Chenopodiaceae,Chenopod,0.25,Atriplex,vesicaria,Species,S1-N1 79,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,80,Gravel,NA,,,,,NA,NA,NA,S1-N1 80,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,81,Litter,Maireana astrotricha,FALSE,Chenopodiaceae,Chenopod,0.32,Maireana,astrotricha,Species,S1-N1 81,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,82,Gravel,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.07,Sclerolaena,brachyptera,Species,S1-N1 82,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,83,Gravel,NA,,,,,NA,NA,NA,S1-N1 83,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,84,Gravel,NA,,,,,NA,NA,NA,S1-N1 84,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,85,Litter,Atriplex vesicaria,FALSE,Chenopodiaceae,Chenopod,0.3,Atriplex,vesicaria,Species,S1-N1 85,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,86,Litter,NA,,,,,NA,NA,NA,S1-N1 86,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,87,Litter,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.28,Sclerolaena,divaricata,Species,S1-N1 87,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,88,Litter,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.2,Sclerolaena,divaricata,Species,S1-N1 88,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,89,Rock,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.3,Sclerolaena,longicuspis,Species,S1-N1 89,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,90,Gravel,Sclerolaena eriacantha,FALSE,Chenopodiaceae,Chenopod,0.1,Sclerolaena,eriacantha,Species,S1-N1 90,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,91,Gravel,Sclerolaena eriacantha,FALSE,Chenopodiaceae,Chenopod,0.14,Sclerolaena,eriacantha,Species,S1-N1 91,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,92,Gravel,Sclerolaena eriacantha,FALSE,Chenopodiaceae,Chenopod,0.24,Sclerolaena,eriacantha,Species,S1-N1 92,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,93,Litter,NA,,,,,NA,NA,NA,S1-N1 93,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,94,Rock,NA,,,,,NA,NA,NA,S1-N1 94,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,95,Rock,NA,,,,,NA,NA,NA,S1-N1 95,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,96,Litter,NA,,,,,NA,NA,NA,S1-N1 96,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,97,Gravel,NA,,,,,NA,NA,NA,S1-N1 97,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,98,Gravel,NA,,,,,NA,NA,NA,S1-N1 98,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,99,Rock,NA,,,,,NA,NA,NA,S1-N1 99,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S1-N1,100,Rock,NA,,,,,NA,NA,NA,S1-N1 100,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,0,Rock,NA,,,,,NA,NA,NA,S2-N2 0,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,1,Rock,NA,,,,,NA,NA,NA,S2-N2 1,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,2,Rock,NA,,,,,NA,NA,NA,S2-N2 2,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,3,Rock,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.06,Sclerolaena,divaricata,Species,S2-N2 3,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,4,Litter,Atriplex vesicaria,FALSE,Chenopodiaceae,Chenopod,0.28,Atriplex,vesicaria,Species,S2-N2 4,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,5,Bare,NA,,,,,NA,NA,NA,S2-N2 5,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,6,Bare,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.33,Sclerolaena,longicuspis,Species,S2-N2 6,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,7,Bare,Sida fibulifera,FALSE,Chenopodiaceae,Forb,0.35,Sida,fibulifera,Species,S2-N2 7,1526,1551
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,8,Litter,NA,,,,,NA,NA,NA,S2-N2 8,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,9,Bare,NA,,,,,NA,NA,NA,S2-N2 9,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,10,Litter,NA,,,,,NA,NA,NA,S2-N2 10,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,11,Litter,NA,,,,,NA,NA,NA,S2-N2 11,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,12,Litter,Paper Daisy A,TRUE,,Forb,0.32,Paper,daisy A,Species,S2-N2 12,1552,1561
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,13,Litter,Astrebla A,TRUE,,Grass??,0.17,Astrebla,A,Species,S2-N2 13,1562,1572
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,14,Litter,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.4,Sclerolaena,divaricata,Species,S2-N2 14,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,15,Rock,Sclerolaena ventricosa,TRUE,Chenopodiaceae,Chenopod,0.25,Sclerolaena,ventricosa,Species,S2-N2 15,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,16,Rock,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.21,Sclerolaena,brachyptera,Species,S2-N2 16,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,17,Gravel,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.38,Sclerolaena,divaricata,Species,S2-N2 17,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,18,Bare,Maireana astrotricha,FALSE,Chenopodiaceae,Chenopod,0.51,Maireana,astrotricha,Species,S2-N2 18,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,18,Bare,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.34,Sclerolaena,divaricata,Species,S2-N2 18,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,19,Bare,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.43,Sclerolaena,divaricata,Species,S2-N2 19,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,20,Bare,Maireana astrotricha,FALSE,Chenopodiaceae,Chenopod,0.78,Maireana,astrotricha,Species,S2-N2 20,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,20,Bare,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.32,Sclerolaena,divaricata,Species,S2-N2 20,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,21,Bare,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.39,Sclerolaena,longicuspis,Species,S2-N2 21,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,22,Bare,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.3,Sclerolaena,longicuspis,Species,S2-N2 22,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,23,Bare,NA,,,,,NA,NA,NA,S2-N2 23,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,24,Litter,Sclerolaena ventricosa,TRUE,Chenopodiaceae,Chenopod,0.12,Sclerolaena,ventricosa,Species,S2-N2 24,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,25,Crypto,Sclerolaena longicuspis,FALSE,Chenopodiaceae,Chenopod,0.32,Sclerolaena,longicuspis,Species,S2-N2 25,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,25,Crypto,Chenopodium curvispicatum,FALSE,Chenopodiaceae,Chenopod,0.44,Chenopodium,curvispicatum,Species,S2-N2 25,1573,1583
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,26,Rock,Sclerolaena brachyptera,TRUE,Chenopodiaceae,Chenopod,0.12,Sclerolaena,brachyptera,Species,S2-N2 26,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,27,Gravel,NA,,,,,NA,NA,NA,S2-N2 27,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,28,Gravel,Atriplex vesicaria,FALSE,Chenopodiaceae,Chenopod,0.34,Atriplex,vesicaria,Species,S2-N2 28,1584,1593
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,28,Gravel,Sclerolaena divaricata,FALSE,Chenopodiaceae,Chenopod,0.22,Sclerolaena,divaricata,Species,S2-N2 28,1584,1593
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,28,Gravel,Sida fibulifera,FALSE,Malvaceae,Forb,0.13,Sida,fibulifera,Species,S2-N2 28,1584,1593
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,29,Litter,Digitaria brownii,FALSE,Poaceae,Grass,0.5,Digitaria,brownii,Species,S2-N2 29,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,29,Litter,Atriplex vesicaria,FALSE,Chenopodiaceae,Chenopod,0.47,Atriplex,vesicaria,Species,S2-N2 29,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,30,Litter,Digitaria brownii,FALSE,Poaceae,Grass,0.56,Digitaria,brownii,Species,S2-N2 30,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,30,Litter,Atriplex vesicaria,FALSE,Chenopodiaceae,Chenopod,0.36,Atriplex,vesicaria,Species,S2-N2 30,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,31,Bare,Paper Daisy A,TRUE,,Forb,0.2,Paper,daisy A,Species,S2-N2 31,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,31,Bare,Digitaria brownii,FALSE,Poaceae,Grass,0.4,Digitaria,brownii,Species,S2-N2 31,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,32,Rock,NA,,,,,NA,NA,NA,S2-N2 32,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,33,Bare,Sida fibulifera,FALSE,,Forb,0.23,Sida,fibulifera,Species,S2-N2 33,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,34,Bare,Chenopodium curvispicatum,FALSE,Chenopodiaceae,Chenopod,0.65,Chenopodium,curvispicatum,Species,S2-N2 34,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,34,Bare,Digitaria brownii,FALSE,Poaceae,Grass,0.74,Digitaria,brownii,Species,S2-N2 34,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,35,Litter,Sida fibulifera,FALSE,Malvaceae,Forb,0.28,Sida,fibulifera,Species,S2-N2 35,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,36,Litter,Maireana astrotricha,FALSE,Chenopodiaceae,Chenopod,0.5,Maireana,astrotricha,Species,S2-N2 36,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,36,Litter,Chenopodium curvispicatum,FALSE,Chenopodiaceae,Chenopod,0.62,Chenopodium,curvispicatum,Species,S2-N2 36,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,36,Litter,Sida fibulifera,FALSE,Malvaceae,Forb,0.38,Sida,fibulifera,Species,S2-N2 36,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,37,Bare,Sida fibulifera,FALSE,Malvaceae,Forb,0.18,Sida,fibulifera,Species,S2-N2 37,,
NSABHC0009,NSABHC0009-24018,2024-03-18T10:17:52,S2-N2,38,Rock,NA,,,,,NA,NA,NA,S2-N2 38,,
